sample_id	source_file	song_title_guess	prompt_tags	lyrics_status	mp3_path
kishore_keep_018	WA_2jiGa-_k__Kishore_Kumar_s_Dil_Kya_Kare_Without_Music_Acapella_Only_Vocals_No_Music_OVNM.wav	S Dil Kya Kare Ovnm	old bollywood, hindi film song, male vocal, solo vocal, playback singing, vintage, kishore kumar style, romantic, expressive	missing	kishore_voice_dataset/ace_step_data/kishore_keep_018.mp3
kishore_keep_019	WUT16Gp5UVI__Mere_Naina_Sawan_Bhado_Without_Music_Vocals_Only_Kishore_Kumar_Sad_Songs_Dard_Bhare_Geet.wav	Mere Naina Sawan Bhado Sad Dard Bhare Geet	old bollywood, hindi film song, male vocal, solo vocal, playback singing, vintage, kishore kumar style, melancholic, emotional, melodic, nostalgic	missing	kishore_voice_dataset/ace_step_data/kishore_keep_019.mp3
kishore_keep_020	aEhTiPPi29U__Tum_Bin_Jau_Kaha_Without_Music_Vocals_Only_Kishore_Kumar_Hit_Songs_Evergreen_Hindi_Songs.wav	Tum Bin Jau Kaha	old bollywood, hindi film song, male vocal, solo vocal, playback singing, vintage, kishore kumar style	missing	kishore_voice_dataset/ace_step_data/kishore_keep_020.mp3
kishore_keep_021	b5uSFBDZ4MY__Mere_Mehboob_Qayamat_Hogi_Without_Music_Kishore_Kumar.wav	Mere Mehboob Qayamat Hogi	old bollywood, hindi film song, male vocal, solo vocal, playback singing, vintage, kishore kumar style	missing	kishore_voice_dataset/ace_step_data/kishore_keep_021.mp3
kishore_keep_022	cOY5PIwYLrU__O_Mere_Dil_Ke_Chain_Without_Music_Vocals_Only_Kishore_Kumar_Jhankar_Now_Vocals.wav	O Mere Dil Ke Chain Now	old bollywood, hindi film song, male vocal, solo vocal, playback singing, vintage, kishore kumar style, romantic, expressive	missing	kishore_voice_dataset/ace_step_data/kishore_keep_022.mp3
kishore_keep_023	cvAcphavSj0__chala_jata_hoon_kisi_ki_dhun_mein_vocals_kishore_kumar_vocals.wav	Chala Jata Hoon Kisi Ki Dhun Mein	old bollywood, hindi film song, male vocal, solo vocal, playback singing, vintage, kishore kumar style	missing	kishore_voice_dataset/ace_step_data/kishore_keep_023.mp3
kishore_keep_024	eowf0B4Hjqc__Rimjhim_Gire_Saawan_Vocals_Only_Manzil_Kishore_Kumar_R.D._Burman_Gulzar.wav	Rimjhim Gire Saawan R D	old bollywood, hindi film song, male vocal, solo vocal, playback singing, vintage, kishore kumar style, melodic, nostalgic	missing	kishore_voice_dataset/ace_step_data/kishore_keep_024.mp3
kishore_keep_025	h0_6E5GSa4E__Dil_Aisa_Kisi_Ne_Mera_Toda_Without_Music_Vocals_Only_Kishore_Kumar_Hit_Songs_Rajesh_Khanna.wav	Dil Aisa Kisi Ne Mera Toda	old bollywood, hindi film song, male vocal, solo vocal, playback singing, vintage, kishore kumar style, melancholic, emotional, romantic, expressive	missing	kishore_voice_dataset/ace_step_data/kishore_keep_025.mp3
kishore_keep_026	lyDmAnPR6RI__Aa_Chal_Ke_Tujhe_Vocals_Only_Kishore_Kumar.wav	Aa Chal Ke Tujhe	old bollywood, hindi film song, male vocal, solo vocal, playback singing, vintage, kishore kumar style	missing	kishore_voice_dataset/ace_step_data/kishore_keep_026.mp3
kishore_keep_027	ott3vofgA9U__Saagar_Jaisi_Aankhon_Wali_only_vocals_No_music_Kishore_Kumar_R._D._Burman.wav	Saagar Jaisi Aankhon Wali R D	old bollywood, hindi film song, male vocal, solo vocal, playback singing, vintage, kishore kumar style	missing	kishore_voice_dataset/ace_step_data/kishore_keep_027.mp3
kishore_keep_028	si13bqIIFb8__dilbar_mere_kabtak_mujhe_vocals_kishore_kumar_vocals.wav	Dilbar Mere Kabtak Mujhe	old bollywood, hindi film song, male vocal, solo vocal, playback singing, vintage, kishore kumar style, romantic, expressive	missing	kishore_voice_dataset/ace_step_data/kishore_keep_028.mp3
kishore_keep_029	tYSvVmhJdsI__Ye_Lal_Rang_Without_Music_Vocals_Only_Kishore_Kumar_Hit_Songs_Evergreen_Hindi_Songs_Old_Song.wav	Ye Lal Rang	old bollywood, hindi film song, male vocal, solo vocal, playback singing, vintage, kishore kumar style, energetic, lively	missing	kishore_voice_dataset/ace_step_data/kishore_keep_029.mp3
kishore_keep_030	tZI1bOFVAeg__chhukar_mere_mann_ko_vocals_kishore_kumar_vocals.wav	Chhukar Mere Mann Ko	old bollywood, hindi film song, male vocal, solo vocal, playback singing, vintage, kishore kumar style	missing	kishore_voice_dataset/ace_step_data/kishore_keep_030.mp3
kishore_keep_031	uJD70ATEgSw__Mere_Dil_Mein_Aaj_Kya_Hai_Without_Music_Vocals_Only_Kishore_Kumar_Hit_Songs_Rajesh_Khanna.wav	Mere Dil Mein Aaj Kya Hai	old bollywood, hindi film song, male vocal, solo vocal, playback singing, vintage, kishore kumar style, romantic, expressive	missing	kishore_voice_dataset/ace_step_data/kishore_keep_031.mp3
kishore_keep_032	wfmnuERtqiI__Pal_Pal_Dil_Ke_Paas_vocals_only_Without_music_Kishore_Kumar_Blackmail_Dharmendra_Rakhee.wav	Pal Pal Dil Ke Paas Blackmail	old bollywood, hindi film song, male vocal, solo vocal, playback singing, vintage, kishore kumar style, romantic, expressive	missing	kishore_voice_dataset/ace_step_data/kishore_keep_032.mp3
kishore_keep_033	zKuFHTq7mlo__Ooo_Mere_Dil_K_Chain_Song_Kishore_Kumar_Hindi_Song_Without_Music_Only_Vocal_@koniabasu5896.wav	Ooo Mere Dil K Chain Koniabasu5896	old bollywood, hindi film song, male vocal, solo vocal, playback singing, vintage, kishore kumar style, romantic, expressive	missing	kishore_voice_dataset/ace_step_data/kishore_keep_033.mp3
kishore_keep_034	ztf502rM8Bw__Kishore_Kumar_Without_Music_Meri_Bheegi_Bheegi_Si.wav	Meri Bheegi Bheegi Si	old bollywood, hindi film song, male vocal, solo vocal, playback singing, vintage, kishore kumar style, melancholic, emotional	missing	kishore_voice_dataset/ace_step_data/kishore_keep_034.mp3
